+------+---------------------+
|codneg|Volatilidade         |
+------+---------------------+
|AERI3 |0.035309326149144345 |
|AESL3 |120.94500665036315   |
|AGR 3 |0.40176101334529724  |
|AHE 3 |0.11296519899091297  |
|ALPK3 |0.01787184515479393  |
|ALSO3 |0.04005735515563661  |
|AMBP3 |0.02123610033741466  |
|AMCE3 |0.43256056304718327  |
|AMPI3 |0.3398704488476588   |
|AORE3 |0.10892028606398707  |
|ARA 3 |0.5878275899627735   |
|ARL 3 |0.490448532142979    |
|ARP 3 |0.7777680333781121   |
|ARTE3 |28.619386213880993   |
|ASS 3 |0.7163634496417357   |
|AVLL3 |0.027641514583680433 |
|BAN 3 |0.6271729948365894   |
|BAQU3 |0.0778374811346549   |
|BAR 3 |0.08700979781061385  |
|BBVT3 |0.08361667522867804  |
|BDE 3 |0.16606898780262738  |
|BDEP3 |0.47150271983819436  |
|BDL 3 |0.12515991890869743  |
|BEE 3 |0.22706295322298525  |
|BEG 3 |0.22655259190481114  |
|BER 3 |1.0695712629770202   |
|BES 3 |0.05739273180161253  |
|BHEQ3 |2.0042586236494637   |
|BIO 3 |0.0869060847266797   |
|BIV 3 |0.14884805576409402  |
|BME 3 |0.21721032090082174  |
|BMI 3 |0.2878460210818708   |
|BNET3 |0.14800823788801404  |
|BOAS3 |0.023905267286877724 |
|BPAR3 |3.6790202679552193   |
|BRD 3 |0.1657159611847285   |
|BSEG3 |0.007101159707615055 |
|BZN 3 |0.0023094010767585054|
|CAF 3 |0.4231840034642481   |
|CAFE3 |0.3519057441422782   |
|CAL 3 |0.10977373115454636  |
|CALI3 |0.3050871375903244   |
|CAMB3 |0.041480495423093476 |
|CASH3 |0.03919573533890585  |
|CBA 3 |0.3194902139426086   |
|CBM 3 |0.041000309161236724 |
|CBMA3 |0.1943798956947645   |
|CCHI3 |0.13788159219839421  |
|CDO 3 |0.16352236205057272  |
|CECI3 |0.05739605484611159  |
|CEE 6 |0.05714446422453057  |
|CEL 3 |0.22614823460582884  |
|CELM3 |0.4550610710648134   |
|CNF 3 |0.0                  |
|CNTO3 |0.0425462619970284   |
|COB 3 |0.14433756729740646  |
|COC 3 |0.06491919310958814  |
|COP 3 |0.35635482419352843  |
|COR 3 |0.3679447697235093   |
|CPEE3 |0.0567137484509531   |
|CRBM3 |0.4955336921453463   |
|CRE 3 |0.24476404351456124  |
|CRGT3 |0.14359466862359133  |
|CSA 3 |0.35363880375529083  |
|CSI 3 |0.08721849171760657  |
|CSIP3 |0.38464248244585786  |
|CSP 3 |0.14903104466022854  |
|CSPP3 |0.6711240158768697   |
|CTA 3 |0.5                  |
|CTK 3 |0.4413864123741528   |
|CTS 3 |0.10532331426252706  |
|CTWR3 |0.14291519422048043  |
|CURY3 |0.02420496960583803  |
|CVPT3 |0.24679396461090433  |
|CZA 3 |0.4607507295223382   |
|DATA3 |0.09521366955090099  |
|DFV 3 |0.9301986074344345   |
|DFVA3 |0.5591778232899857   |
|DHB 3 |0.3241092944830965   |
|DHBI3 |3.037705560768626    |
|DMVF3 |0.03692302542132938  |
|DOH 3 |0.1767766952966369   |
|DOMO3 |0.005071372080300461 |
|DOV 3 |0.30860899609644454  |
|DRO 3 |0.1063357497113114   |
|EBER3 |0.34759475345200314  |
|ECIS3 |0.40211812071780423  |
|ECP 3 |1.0342324018102023   |
|ELU 3 |0.2599397868464571   |
|EMR 3 |0.3461686784415789   |
|EMXS3 |0.27595348022845867  |
|ENJU3 |0.03067629806441137  |
|ENLT3 |0.096144096600339    |
|EST 3 |0.3705530980604949   |
|ESTR3 |1.5396272261480597   |
|FAP 3 |0.37868151276894263  |
|FAPC3 |0.39464810916524823  |
|FAT 3 |3.1434396952361774   |
|FCAP3 |0.12125512075677691  |
|FGO 3 |0.18609041699752352  |
|FGOS3 |0.6564594553830461   |
|FGU 3 |0.2875167433594634   |
|FGUI3 |0.8247485645868362   |
|FIG 3 |1.1059749684572404   |
|FJT 3 |0.07749436683330259  |
|FLB 3 |1.5624243769527837   |
|FLBR3 |82.94970235442167    |
|FTRX3 |0.2908806913690522   |
|FTS 3 |0.19590772464143708  |
|GAF 3 |0.7040481230537949   |
|GAFP3 |0.3270637310567812   |
|GAL 3 |0.1767766952966369   |
|GAZO3 |0.14982511694275957  |
|GFTT3 |1.395652109859009    |
|GLO 3 |0.2066275179112842   |
|GMAT3 |0.01781050543891832  |
|GRN 3 |0.20019336142167551  |
|GRNL3 |0.3028814132747213   |
|GTDP3 |0.22380635762704718  |
|GVTT3 |0.03159402077365382  |
|HAGA3 |0.07424574865530036  |
|HBSA3 |0.024987167192367606 |
|HERI3 |0.011547005383792526 |
|HET 3 |1.001538840683936    |
|HETA3 |34.96467187635529    |
|HGN 3 |0.4296229597265813   |
|IBP 3 |0.5852806754884339   |
|ICF 3 |0.1664016790335608   |
|ILM 3 |0.10479366619977616  |
|ILMD3 |4.4675466344117      |
|IMB 3 |0.7376917733645388   |
|INFM3 |0.7071067811865476   |
|IRI 3 |0.037053900106828    |
|IRON3 |0.010975010020309837 |
|IVE 3 |0.20528906550577183  |
|IVTE3 |0.30304576336566325  |
|JBD 3 |0.37599791965953927  |
|JBDU11|0.04083050805835754  |
|JFE 3 |0.21637175664058278  |
|KLAB3 |0.23882188157124679  |
|LAC 3 |0.7650790687420264   |
|LAE 3 |0.28309096747824475  |
|LAT 3 |0.042760479942054126 |
|LAVV3 |0.024742974997435677 |
|LCSA3 |0.36339105178405856  |
|LET 3 |0.19327585352432292  |
|LETO3 |0.35584976727203504  |
|LEV 3 |0.25                 |
|LIB 3 |0.0                  |
|LIBP3 |0.03138464448138076  |
|LIX 3 |0.3457545398314517   |
|LOR 3 |0.11724727068583003  |
|LPC 3 |0.0                  |
|MAF 3 |0.26054998473228974  |
|MAFE3 |0.17705466852210014  |
|MANM3 |0.06397849731087348  |
|MAP 3 |0.3194381026379179   |
|MAT 3 |0.2905377019484768   |
|MATC3 |0.25296675317237916  |
|MDNE3 |0.05968579416134049  |
