"year","ECONOMIC.FREEDOM","rank","quartile","X1a_government_consumption","X1b_transfers","X1c_gov_enterprises","X1d_top_marg_tax_rate","X1_size_government","X2a_judicial_independence","X2b_impartial_courts","X2c_protection_property_rights","X2d_military_interference","X2e_integrity_legal_system","X2f_legal_enforcement_contracts","X2g_restrictions_sale_real_property","X2h_reliability_police","X2i_business_costs_crime","X2j_gender_adjustment","X2_property_rights","X3a_money_growth","X3b_std_inflation","X3c_inflation","X3d_freedom_own_foreign_currency","X3_sound_money","X4a_tariffs","X4b_regulatory_trade_barriers","X4c_black_market","X4d_control_movement_capital_ppl","X4_trade","X5a_credit_market_reg","X5b_labor_market_reg","X5c_business_reg","X5_regulation","continent"
2015,6.55,103,3,5.038235294,7.840214037,10,4.5,6.844612333,3.21225645,3.178814113,5.182705161,3.333333333,3.333333333,2.217134643,9.040189726,3.985042572,2.999791093,0.871794872,3.793774688,8.957453776,9.148102487,8.998993869,5,8.026137533,8.027866667,4.421660021,9.53442623,5.675940611,6.914973382,8.806333333,5.980383083,6.724540683,7.170419033,"South America"
2016,7.8,15,1,6.629411765,7.891641773,10,7,7.880263385,6.439824898,4.708226323,7.06916809,7.5,7.5,5.109379145,9.066918247,8.145647048,5.205232302,0.902439024,6.42013942,8.713567963,9.369285721,9.2428,10,9.331413421,9.470666667,7.029769477,10,6.573815995,8.268563035,8.947500322,5.170611125,7.176758575,7.098290007,"South America"
1985,5.55,42,2,6.855003703,5.967302452,8,2,5.705576539,6.29288517577778,5.85772160677778,4.2,7.23437339511111,6.6,5.10935684235294,9.002629123,8.36808456125,5.94715424316667,0.777777778,4.460403636,8.21037369,6.168,3.858,10,7.059093422,6.733333333,7.84158756266667,5.6,2,4.777777778,8.186186186,5.51131164884211,7.13169447722222,5.743655662,"South America"
2004,7.43,33,2,7.987652627,8.991825613,8,6,7.74486956,1.713615023,2.253521127,2.761904762,8.333333333,5,4.157960813,8.324449203,3.109749481,3.80458432241667,1,4.649254895,9.949486154,9.24003347,9.267691158,10,9.614302695,8.402222222,5.777383858,10,7.657999278,7.959401339,9.42573199,6.516498971,5.545938768,7.162723243,"South America"
2001,6.84,56,2,6.752473437,7.007587804,10,8,7.94001531,0.991561214,1.354166667,2.510548433,6.666666667,6.666666667,5.015583364,6.735160227,2.96151378141667,4.13942663741667,0.888888889,4.039571469,8.482048687,9.53227802,9.786672898,10,9.450249901,7.659572611,5.865384738,10,5.808463654,7.333355251,6.811524544,4.64961432,4.918141172,5.459760012,"South America"
2005,6.48,81,3,8.25,9.214386778,4,9,7.616096694,1.079545455,1.763565891,3.353413655,2.5,3.333333333,4.187770031,8.473212601,3.03030303,2.935606061,1,3.406305562,7.094369483,7.750572875,8.641183956,10,8.371531579,7.9448,5.074558574,10,6.766926088,7.446571166,8.333333333,3.319348683,5.046055656,5.566245891,"South America"
2008,7.8,13,1,7.176470588,7.343324251,10,7,7.87994871,6.18198172,6.069610833,7.511397917,7.5,8.333333333,5.109379145,8.986799029,8.723459777,5.839825713,0.777777778,6.346250615,8.726305246,8.302344032,8.26,10,8.82216232,9.416888889,8.016925734,10,7.290586564,8.681100297,9.282895571,5.75760557,6.724412273,7.254971138,"South America"
2016,6.95,76,2,7.388235294,8.850240164,8,8.5,8.184618864,1.824970643,2.309366266,4.456478755,2.5,3.333333333,4.074723631,8.538954848,2.833951712,4.696211815,1,3.840887889,9.04245502,8.905643861,9.18264,10,9.28268472,7.961866667,5.553456663,10,5.61072603,7.28151234,8.558596422,4.179869337,5.696261846,6.144909202,"South America"
2005,6.18,101,3,4.429411765,8.980926431,8,5.5,6.727584549,3.031088083,3.420138889,6.024955437,6.666666667,4.166666667,4.81963627,8.191344373,3.114035088,2.757417103,1,4.687994286,7.922195613,9.019452743,8.625963724,5,7.64190302,7.201511111,6.139788278,9.03930131,6.205507747,7.146527112,5.976127923,3.839913791,4.203508955,4.673183556,"South America"
1990,4.23,98,4,4.545425089,7.220708447,7,5.5,6.066533384,4.52471324544444,4.07689372355556,7.3,6.5991729465,6.7,4.39592355541176,8.31345887005882,4.4285543405,3.45765993741667,1,6.185587054,0,0,0,0,0,4.844444444,5.93647284877778,8,0,4.281481481,4.403473717,4.783633333,3.93225621566667,4.593553525,"South America"
